,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
1800,1330555645213483016,868,1800,people,people,find,happen,,,,vote fake ballot home,vote,,,not_happen,not_find,people not_find vote fake ballot home,people not_find vote
1804,1333610260381175813,869,1804,donald trump,donald trump,,,,,,arizona voter fraud hearing,arizona,,,not_,not_,donald trump not_ arizona voter fraud hearing,donald trump not_ arizona
1830,1321045863301586945,885,1830,bidens handler,comey,want,want,,,,expand court,business,,,not_want,not_want,bidens handler not_want expand court,comey not_want business
1831,1321045863301586945,885,1831,bidens handler,comey,expand,expand,,,,court,case,,,not_expand,not_expand,bidens handler not_expand court,comey not_expand case
1864,1331013908971261953,901,1864,emily team,rosie,,,,,,need regard initial protocol,system,,,not_,not_,emily team not_ need regard initial protocol,rosie not_ system
1893,1331086969183621120,907,1893,gsa allow preliminarily work dems,dems,,,,,,continue pursue case corrupt election american political history,american,,,not_,not_,gsa allow preliminarily work dems not_ continue pursue case corrupt election american political history,dems not_ american
1917,1331214247955738624,917,1917,big lawsuit,case,spell,write,,,,ballot fraud,collusion,,,not_write,not_spell,big lawsuit not_spell ballot fraud,case not_spell collusion
1934,1333637865255923712,929,1934,judge nevada,nevada,order,tell,,,,clark county official,john,allow inspection election equipment seal container use election pm tomorrow,oil,not_tell,not_order,judge nevada not_order clark county official,nevada not_order john
1935,1333637865255923712,929,1935,clark county official,john,allow,let,,,,inspection election equipment seal container use election,oil,,,not_let,not_allow,clark county official not_allow inspection election equipment seal container use election,john not_allow oil
1955,1327095398712946695,939,1955,great loudobbs,great,,,,,,confirm powerful piece,right,,,not_,not_,great loudobbs not_ confirm powerful piece,great not_ right
1977,1327279929319432200,951,1977,dems,dems,preach,advocate,,,,unsafe rig election,corrupt,,,not_advocate,not_preach,dems not_preach unsafe rig election,dems not_preach corrupt
1978,1327279929319432200,951,1978,dems,dems,rig,set,,,,election,election,,,not_set,not_rig,dems not_rig election,dems not_rig election
1983,1327279929319432200,952,1983,trump administration,administration,,,,,,wonderful job,fantastic,,,not_,not_,trump administration not_ wonderful job,administration not_ fantastic
1984,1327279929319432200,952,1984,trump administration,administration,,,,,,secure election,careful,,,not_,not_,trump administration not_ secure election,administration not_ careful
1991,1331225404351373313,955,1991,somebody,thing,vote,vote,,,,absentee,election,,,not_vote,not_vote,somebody not_vote absentee,thing not_vote election
2052,1331247567041081345,979,2052,emily murphy,rosie,,,,,,great job,great,,,not_,not_,emily murphy not_ great job,rosie not_ great
2054,1331247567041081345,979,2054,gsa,vet,determine,determine,True,True,,president united state,state,,,determine,determine,gsa determine president united state,vet determine state
2064,1321056850633252864,984,2064,real poll,right,,,,,,win,win,,,not_,not_,real poll not_ win,right not_ win
2070,1327390548844556288,988,2070,clark county election official,john,accepted,admit,,,,signature ballot envelope,letter,,,not_admit,not_accepted,clark county election official not_accepted signature ballot envelope,john not_accepted letter
2086,1333856259662077954,998,2086,large truck,car,carry,run,,,,thousand fraudulent fake ballot,collusion,,,not_run,not_carry,large truck not_carry thousand fraudulent fake ballot,car not_carry collusion
2090,1331393812728573952,1000,2090,gasecofstate brad raffensperger republican,republican,allow,deny,True,,,look signature envelope verification,letter,,,not_deny,allow,gasecofstate brad raffensperger republican allow look signature envelope verification,republican allow letter
2097,1275599861619077121,1004,2097,patient,care,deserve,deserve,,,,know price care enter hospital,care,,,not_deserve,not_deserve,patient not_deserve know price care enter hospital,care not_deserve care
2098,1275599861619077121,1004,2098,patient,care,know,know,,,,price care,care,,,not_know,not_know,patient not_know price care,care not_know care
2118,1331404288149643264,1015,2118,president trump,trump,concede,grant,,,,biden,biden,,,not_grant,not_concede,president trump not_concede biden,trump not_concede biden
2133,1321068338236346368,1025,2133,new york fine,new york,,,,,,job,people,,,not_,not_,new york fine not_ job,new york not_ people
2152,1327413534901350400,1040,2152,georgia secretary state republican rino,georgia,let,prevent,True,,wo,people check ballot signature fraud,letter,,,not_prevent,let,georgia secretary state republican rino let people check ballot signature fraud,georgia let letter
2153,1327413534901350400,1040,2153,people,people,check,watch,,,,ballot,election,,,not_watch,not_check,people not_check ballot,people not_check election
2154,1327413534901350400,1040,2154,people check ballot,election,,,,,,signature fraud,collusion,,,not_,not_,people check ballot not_ signature fraud,election not_ collusion
2182,1321073917793046528,1058,2182,nicole,rosie,,,,,,complete total endorsement,money,,,not_,not_,nicole not_ complete total endorsement,rosie not_ money
2194,1263124870055018501,1068,2194,dem establishment,ad,,,,,,alfred newman mayor pete amp amyklobuchar quit amp endorse sleepy joe super tuesday amp,joe,,,not_,not_,dem establishment not_ alfred newman mayor pete amp amyklobuchar quit amp endorse sleepy joe super tuesday amp,ad not_ joe
2196,1263124870055018501,1068,2196,dem establishment,ad,endorse,support,,,,sleepy joe,joe,,,not_support,not_endorse,dem establishment not_endorse sleepy joe,ad not_endorse joe
2197,1263124870055018501,1068,2197,dem establishment,ad,,,,,,pocahontas stay race thousand vote bernie,bernie,,,not_,not_,dem establishment not_ pocahontas stay race thousand vote bernie,ad not_ bernie
2239,1280232979781111808,1089,2239,corrupt joe biden democrat,joe,want,want,True,True,,open school fall,school,,,want,want,corrupt joe biden democrat want open school fall,joe want school
2240,1280232979781111808,1089,2240,corrupt joe biden democrat,joe,open,open,,,,school,school,,,not_open,not_open,corrupt joe biden democrat not_open school,joe not_open school
2252,1321083351000862725,1097,2252,pelosi,jeb,look,look,,,,bail badly run democrat city,democrat,,,not_look,not_look,pelosi not_look bail badly run democrat city,jeb not_look democrat
2270,1321091050488909824,1109,2270,second term,people,bring,work,,,,success strong america,america,,,not_work,not_bring,second term not_bring success strong america,people not_bring america
2293,1321107640651550720,1120,2293,obama,obama,draw,run,,,,small tiny number people,number,,,not_run,not_draw,obama not_draw small tiny number people,obama not_draw number
2301,1333986142157496320,1125,2301,fake news,fake news,refuse,refuse,,,,report,government,,,not_refuse,not_refuse,fake news not_refuse report,fake news not_refuse government
2309,1321110707937648641,1131,2309,real poll,right,,,,,,win,win,,,not_,not_,real poll not_ win,right not_ win
2325,1331653804912242688,1139,2325,anonymous fabricator major sleaze,hater loser,,,,,,lie,lie,forward,advantage,not_,not_,anonymous fabricator major sleaze not_ lie,hater loser not_ lie
2357,1321113340928839681,1162,2357,handler,comey,ripped,rip,,,,sleepy joe,joe,stage,winner,not_rip,not_ripped,handler not_ripped sleepy joe,comey not_ripped joe
2371,1317495725786353670,1172,2371,senator,campaign,win,win,,,,primary,important,,,not_win,not_win,senator not_win primary,campaign not_win important
2372,1317495725786353670,1172,2372,senator,campaign,decide,decide,,,,drop politics gracefully retire,amaze,,,not_decide,not_decide,senator not_decide drop politics gracefully retire,campaign not_decide amaze
2377,1317495725786353670,1173,2377,republican,republican,find,happen,,,,new viable candidate,careful,,,not_happen,not_find,republican not_find new viable candidate,republican not_find careful
2380,1317495722133065728,1174,2380,senator little ben sasse great state nebraska,great state,head,lead,,,,inglorious path senator liddle bob corker approval rating tennessee amp jeff flake flake approval rating arizona,arizona,,,not_lead,not_head,senator little ben sasse great state nebraska not_head inglorious path senator liddle bob corker approval rating tennessee amp jeff flake flake approval rating arizona,great state not_head arizona
2406,1327619653020110850,1185,2406,georgia secretary state,georgia,sign,sign,,,,consent decree,sanction,,,not_sign,not_sign,georgia secretary state not_sign consent decree,georgia not_sign sanction
2407,1327619653020110850,1185,2407,consent decree sign georgia secretary state approval governor briankempga urge staceyabrams,georgia,,,,,,impossible check amp match signature ballot envelope etc,letter,,,not_,not_,consent decree sign georgia secretary state approval governor briankempga urge staceyabrams not_ impossible check amp match signature ballot envelope etc,georgia not_ letter
2429,1317140754733543424,1195,2429,biden,biden,,,,,,big mistake,disaster,,,not_,not_,biden not_ big mistake,biden not_ disaster
2435,1321126626298634240,1199,2435,foxnews,foxnews,play,work,,,,obamas crowd fake speech biden man barely endorse,biden,,,not_work,not_play,foxnews not_play obamas crowd fake speech biden man barely endorse,foxnews not_play biden
2462,1317076736555819008,1209,2462,steve scully cspan,comey,,,,,,bad week,day,,,not_,not_,steve scully cspan not_ bad week,comey not_ day
2512,1327638503883235332,1232,2512,state,state,use,use,,,,vaccine,ebola,,,not_use,not_use,state not_use vaccine,state not_use ebola
2523,1327638502280925184,1237,2523,trump administration,administration,produce,create,,,,great safe vaccine,great,,,not_create,not_produce,trump administration not_produce great safe vaccine,administration not_produce great
2526,1327638502280925184,1238,2526,administration,administration,,,,,,year,people,,,not_,not_,administration not_ year,administration not_ people
2539,1327704841964183552,1243,2539,people,people,,,,,,election steal privately radical left company dominion reason,company,,,not_,not_,people not_ election steal privately radical left company dominion reason,people not_ company
2540,1327704841964183552,1243,2540,privately radical left company dominion reason,company,steal,steal,,,,election,election,,,not_steal,not_steal,privately radical left company dominion reason not_steal election,company not_steal election
2542,1321151327448133633,1244,2542,joe biden,joe,badly,badly,,,,swine flu epidemic,ebola,,,not_badly,not_badly,joe biden not_badly swine flu epidemic,joe not_badly ebola
2559,1327708998662025216,1253,2559,thousand people,number,,,,,,support,money,,,not_,not_,thousand people not_ support,number not_ money
2575,1334174044984401920,1261,2575,fantastic people,fantastic,love,know,,,,country,country,,,not_know,not_love,fantastic people not_love country,fantastic not_love country
2576,1334174044984401920,1261,2576,fantastic people,fantastic,love,know,,,,state,state,,,not_know,not_love,fantastic people not_love state,fantastic not_love state
2590,1321188083845402625,1271,2590,bidens,omarosa,plan,plan,,,,kill american dream,american,,,not_plan,not_plan,bidens not_plan kill american dream,omarosa not_plan american
